system	yaml.name	search	comment	references	group	fill	stroke
CBASS Type I	cbass_type_I	TRUE	NA	cohen2019:10/ggjhsz;millman2020:10/gg84nk	SigPro	#FFE4C9	#FF952D
CBASS Type II	cbass_type_II	TRUE	NA	cohen2019:10/ggjhsz;millman2020:10/gg84nk	SigPro	#FFE4C9	#FF952D
CBASS Type III	cbass_type_III	TRUE	NA	ye2020:10/gghmg3;millman2020:10/gg84nk	SigPro	#FFE4C9	#FF952D
CBASS Type Iis	cbass_type_IIs	TRUE	NA	millman2020:10/gg84nk	SigPro	#FFE4C9	#FF952D
CBASS Type IV	cbass_type_IV	TRUE	NA	millman2020:10/gg84nk	SigPro	#FFE4C9	#FF952D
CBASS (other)	cbass_other	TRUE	NA	NA	SigPro	#FFE4C9	#FF952D
Druantia Type I	druantia_type_I	TRUE	NA	doron2018:10/ggqhzm	DMS	#EFA8A8	#AB1F20
Druantia Type II	druantia_type_II	TRUE	NA	doron2018:10/ggqhzm	DMS	#EFA8A8	#AB1F20
Druantia Type III	druantia_type_III	TRUE	NA	doron2018:10/ggqhzm	DMS	#EFA8A8	#AB1F20
Druantia Type IV	druantia_type_IV	TRUE	NA	payne2021:10/gzgh	DMS	#EFA8A8	#AB1F20
Druantia (other)	druantia_other	TRUE	NA	NA	DMS	#EFA8A8	#AB1F20
Gabija	gabija	TRUE	NA	doron2018:10/ggqhzm;cheng2021:10/kwtc	DG1	#FFD6D5	#FF4945
Hachiman Type I	hachiman_type_I	TRUE	Also known as AbpAB (Yasui 2014)	doron2018:10/ggqhzm;yasui2014:10/f6js6j	DMS	#D4C2E5	#7747A3
Hachiman Type II	hachiman_type_II	TRUE	NA	payne2021:10/gzgh	DMS	#D4C2E5	#7747A3
Hachiman (other)	hachiman_other	TRUE	NA	NA	DMS	#D4C2E5	#7747A3
Kiwa	kiwa	TRUE	NA	doron2018:10/ggqhzm	DG1	#E8DFEE	#A07DBA
Lamassu family	Lamassu_Family	TRUE	Captures Lamassu Type I and Lamassu Type II	doron2018:10/ggqhzm;payne2021:10/gzgh;millman2022:10/gsdp9b	new	#D6B8B2	#70453C
Septu Type I	septu_type_I	TRUE	NA	doron2018:10/ggqhzm	DRT	#E7D7D4	#AC7368
Septu (other)	septu_other	TRUE	NA	NA	DRT	#E7D7D4	#AC7368
Shedu	shedu	TRUE	Also known as PD-T4-8 (Vassallo 2022)	doron2018:10/ggqhzm;vassallo2022:10/gqwkdp	SG1	#F4C9E7	#D73EA8
Thoeris Type I	thoeris_type_I	TRUE	NA	doron2018:10/ggqhzm;ka2020:10/dx32;ofir2021:10/gnrx8z	SigPro	#FCE2ED	#EF69A2
Thoeris Type II	thoeris_type_II	TRUE	NA	payne2021:10/gzgh	SigPro	#FCE2ED	#EF69A2
Thoeris (other)	thoeris_other	TRUE	NA	NA	SigPro	#FCE2ED	#EF69A2
Wadjet Type I	wadjet_type_I	TRUE	Also known as Ept (Panas 2014)	doron2018:10/ggqhzm;panas2014:10/f6gwxs	MG1	#D8F0F5	#61C3D5
Wadjet Type II	wadjet_type_II	TRUE	NA	doron2018:10/ggqhzm	MG1	#D8F0F5	#61C3D5
Wadjet Type III	wadjet_type_III	TRUE	NA	doron2018:10/ggqhzm	MG1	#D8F0F5	#61C3D5
Wadjet (other)	wadjet_other	TRUE	NA	NA	MG1	#D8F0F5	#61C3D5
