hmm.accession	hmm.name	hmm.description	protein.name	secondary.name	author	e.val.threshold	hmm.coverage.threshold	target.coverage.threshold	literature.ref	database.ref	comment
PDLC00001	DruA1_00001	DUF4338 domain	DruA1|DruA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00002	DruA1_00002	DUF4338 domain	DruA1|DruA	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00003	DruB1_00001	Unknown function	DruB1|DruB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00004	DruB1_00002	Unknown function	DruB1|DruB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00005	DruB1_00003	Unknown function	DruB1|DruB	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00006	DruC1_00001	Unknown function	DruC1|DruC	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00007	DruC1_00002	Unknown function	DruC1|DruC	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00008	DruD1_00001	Unknown function	DruD1|DruD	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00009	DruD1_00002	Unknown function	DruD1|DruD	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00010	DruD1_00003	Unknown function	DruD1|DruD	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00011	DruD1_00004	Unknown function	DruD1|DruD	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00012	DruD1_00005	Unknown function	DruD1|DruD	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00013	DruE1_00001	SNF2 family N-terminal domain	DruE1|DruE	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00014	DruE2_00001	SNF2 family N-terminal domain	DruE2|DruE	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00015	DruE2_00002	SNF2 family N-terminal domain	DruE2|DruE	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Druantia variant V
PDLC00016	DruF2_00001	Unknown function	DruF2|DruF	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00017	DruF2_00002	Unknown function	DruF2|DruF	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00018	DruF2_00003	Unknown function	DruF2|DruF	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00019	DruF2_00004	Unknown function	DruF2|DruF	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00020	DruF2_00005	Unknown function	DruF2|DruF	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Druantia variant V
PDLC00021	DruF2_00006	Unknown function	DruF2|DruF	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Druantia variant V
PDLC00022	DruF2_00007	Unknown function	DruF2|DruF	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Druantia variant V
PDLC00023	DruF2_00008	Unknown function	DruF2|DruF	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Druantia variant V
PDLC00024	DruG2_00001	Unknown function	DruG2|DruG	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00025	DruG2_00002	Unknown function	DruG2|DruG	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00026	DruM2_00001	DNA cytosine methylase	DruM2|DruM	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00027	DruM2_00002	DNA cytosine methylase	DruM2|DruM	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00028	DruM2_00003	DNA cytosine methylase	DruM2|DruM	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	NA
PDLC00029	DruM2_00004	DNA cytosine methylase	DruM2|DruM	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Druantia variant V
PDLC00030	DruM2_00005	DNA cytosine methylase	DruM2|DruM	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Druantia variant V
PDLC00031	DruM2_00006	DNA cytosine methylase	DruM2|DruM	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Druantia variant V
PDLC00032	DruM2_00007	DNA cytosine methylase	DruM2|DruM	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Druantia variant V
PDLC00033	DruM2_00008	DNA cytosine methylase	DruM2|DruM	NA	Payne LJ	1.00E-05	0.3	0.3	10/ggqhzm	NA	Integrated from Druantia variant V
